iter	Passed	Remaining
0	11	11422
1	20	10285
2	29	9645
3	41	10220
4	50	10000
5	58	9673
6	69	9922
7	85	10545
8	93	10282
9	102	10148
10	112	10145
11	122	10086
12	131	10009
13	145	10263
14	156	10299
15	170	10513
16	184	10677
17	197	10749
18	206	10660
19	216	10615
20	225	10504
21	234	10432
22	244	10378
23	252	10280
24	261	10207
25	270	10124
26	276	9965
27	281	9787
28	288	9643
29	293	9488
30	298	9343
31	304	9225
32	311	9123
33	315	8967
34	322	8881
35	328	8797
36	335	8736
37	340	8626
38	346	8530
39	351	8445
40	366	8583
41	374	8533
42	389	8669
43	408	8866
44	427	9083
45	433	8997
46	451	9144
47	459	9108
48	469	9114
49	476	9056
50	487	9065
51	498	9087
52	504	9016
53	517	9064
54	524	9019
55	528	8914
56	532	8810
57	536	8718
58	541	8643
59	546	8568
60	551	8484
61	554	8386
62	558	8313
63	562	8228
64	566	8153
65	569	8057
66	573	7982
67	577	7915
68	581	7845
69	585	7775
70	588	7703
71	592	7634
72	596	7573
73	601	7529
74	605	7470
75	609	7404
76	612	7346
77	617	7296
78	621	7246
79	635	7304
80	651	7387
81	663	7429
82	674	7449
83	690	7530
84	694	7470
85	708	7526
86	720	7562
87	741	7689
88	745	7629
89	758	7665
90	770	7695
91	783	7734
92	793	7734
93	801	7729
94	825	7860
95	830	7818
96	835	7773
97	839	7728
98	843	7673
99	847	7627
100	852	7590
101	855	7535
102	861	7505
103	866	7465
104	872	7434
105	879	7414
106	882	7366
107	887	7331
108	905	7400
109	917	7424
110	927	7431
111	932	7392
112	937	7357
113	941	7320
114	945	7276
115	949	7235
116	953	7193
117	956	7151
118	960	7111
119	963	7063
120	966	7024
121	970	6984
122	973	6943
123	976	6901
124	980	6865
125	984	6825
126	987	6785
127	991	6753
128	994	6714
129	997	6677
130	1001	6642
131	1004	6602
132	1006	6563
133	1009	6522
134	1013	6491
135	1015	6453
136	1018	6417
137	1021	6382
138	1024	6348
139	1027	6314
140	1031	6287
141	1034	6252
142	1037	6219
143	1041	6188
144	1044	6157
145	1047	6124
146	1051	6099
147	1054	6070
148	1057	6039
149	1060	6007
150	1063	5981
151	1067	5956
152	1070	5927
153	1073	5898
154	1077	5873
155	1081	5848
156	1084	5822
157	1087	5793
158	1090	5766
159	1093	5739
160	1097	5717
161	1099	5689
162	1102	5662
163	1105	5635
164	1108	5611
165	1114	5601
166	1116	5570
167	1120	5547
168	1122	5521
169	1125	5497
170	1129	5476
171	1132	5454
172	1137	5436
173	1140	5415
174	1144	5395
175	1148	5375
176	1151	5353
177	1154	5332
178	1158	5312
179	1161	5289
180	1163	5266
181	1166	5243
182	1169	5221
183	1173	5202
184	1175	5180
185	1178	5159
186	1181	5137
187	1184	5118
188	1187	5094
189	1189	5072
190	1193	5056
191	1196	5035
192	1199	5016
193	1202	4996
194	1205	4978
195	1209	4960
196	1212	4940
197	1215	4921
198	1218	4902
199	1220	4883
200	1223	4865
201	1226	4845
202	1229	4828
203	1232	4809
204	1236	4794
205	1238	4775
206	1241	4757
207	1244	4739
208	1247	4722
209	1250	4704
210	1254	4689
211	1256	4671
212	1259	4655
213	1263	4638
214	1266	4623
215	1269	4607
216	1272	4590
217	1275	4575
218	1278	4558
219	1280	4541
220	1283	4525
221	1287	4511
222	1290	4497
223	1293	4482
224	1297	4470
225	1300	4454
226	1303	4440
227	1307	4426
228	1310	4413
229	1313	4398
230	1317	4384
231	1320	4371
232	1324	4358
233	1326	4343
234	1329	4327
235	1332	4314
236	1336	4304
237	1339	4289
238	1343	4276
239	1346	4263
240	1349	4251
241	1352	4237
242	1356	4225
243	1359	4212
244	1362	4198
245	1365	4185
246	1368	4172
247	1371	4159
248	1375	4148
249	1378	4134
250	1381	4123
251	1384	4110
252	1387	4097
253	1391	4085
254	1394	4075
255	1397	4062
256	1401	4051
257	1404	4038
258	1407	4027
259	1410	4015
260	1414	4004
261	1417	3994
262	1420	3981
263	1423	3969
264	1427	3958
265	1431	3948
266	1434	3937
267	1437	3925
268	1440	3913
269	1442	3901
270	1445	3888
271	1448	3877
272	1452	3866
273	1454	3855
274	1457	3843
275	1463	3839
276	1468	3833
277	1471	3822
278	1475	3812
279	1478	3801
280	1481	3791
281	1485	3781
282	1488	3770
283	1491	3759
284	1494	3748
285	1497	3739
286	1500	3728
287	1504	3718
288	1507	3708
289	1510	3697
290	1513	3687
291	1516	3677
292	1519	3666
293	1523	3658
294	1526	3648
295	1529	3637
296	1532	3627
297	1536	3619
298	1539	3609
299	1542	3598
300	1546	3590
301	1549	3580
302	1555	3578
303	1560	3571
304	1565	3567
305	1573	3568
306	1581	3569
307	1589	3570
308	1594	3565
309	1597	3556
310	1601	3547
311	1606	3542
312	1611	3537
313	1616	3530
314	1620	3524
315	1624	3516
316	1628	3508
