id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
6361,2019-02-01,2019-12-01,Month-to-month,Yes,Bank transfer (automatic),80.7,788.8,Fiber optic,No,Yes,No,No,No,No,Male,0,No,No,Yes,1
6362,2014-09-01,,Month-to-month,Yes,Electronic check,104.35,6578.55,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,0
6363,2020-01-01,,Month-to-month,No,Mailed check,19.55,19.55,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,0
6364,2016-12-01,,One year,No,Electronic check,74.05,2802.3,DSL,Yes,Yes,Yes,Yes,Yes,No,Male,0,Yes,Yes,No,0
6365,2018-03-01,,Two year,No,Mailed check,40.1,857.75,DSL,Yes,No,Yes,Yes,No,No,Male,0,No,Yes,No,0
6366,2019-04-01,,One year,No,Mailed check,20.1,184.4,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,0
6367,2019-08-01,2019-12-01,Month-to-month,Yes,Electronic check,101.7,364.55,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,No,Yes,Yes,1
6368,2014-02-01,,Two year,Yes,Credit card (automatic),83.55,6093.3,DSL,Yes,No,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
6369,2017-03-01,,Month-to-month,No,Electronic check,56.85,1861.1,DSL,No,Yes,No,Yes,No,No,Female,0,Yes,No,No,0
6370,2019-11-01,2019-12-01,Month-to-month,No,Mailed check,20.4,20.4,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
6371,2015-04-01,,Two year,No,Credit card (automatic),19.55,1079.65,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
6372,2014-04-01,,One year,Yes,Electronic check,106.15,7475.1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,0
6373,2016-12-01,,One year,No,Credit card (automatic),78.95,2862.55,DSL,No,Yes,Yes,No,Yes,Yes,Male,0,Yes,Yes,Yes,0
6374,2015-02-01,,Month-to-month,Yes,Electronic check,49.75,3069.45,DSL,No,Yes,No,No,Yes,Yes,Female,0,Yes,Yes,No,0
6375,2017-12-01,,Month-to-month,Yes,Credit card (automatic),92.4,2349.8,Fiber optic,Yes,Yes,No,No,Yes,No,Male,0,No,No,Yes,0
6376,2019-06-01,,One year,No,Bank transfer (automatic),58.2,469.25,DSL,Yes,Yes,No,Yes,No,No,Female,0,No,No,No,0
6377,2016-05-01,2019-10-01,One year,Yes,Electronic check,102.6,4213.35,Fiber optic,No,No,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,1
6378,2017-02-01,,Month-to-month,Yes,Credit card (automatic),91.95,3301.05,Fiber optic,No,Yes,No,No,Yes,No,Female,1,Yes,No,Yes,0
6379,2015-08-01,,One year,No,Bank transfer (automatic),65.25,3529.95,DSL,No,No,Yes,Yes,No,Yes,Male,1,No,No,No,0
6380,2014-01-01,2019-12-01,Two year,Yes,Bank transfer (automatic),106.0,7723.7,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,Yes,Yes,Yes,1
6381,2015-07-01,,Month-to-month,Yes,Electronic check,73.1,4144.9,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
6382,2014-02-01,,Two year,No,Bank transfer (automatic),59.75,4265.0,DSL,Yes,Yes,No,No,No,No,Female,0,No,No,Yes,0
6383,2019-08-01,2019-11-01,Month-to-month,Yes,Mailed check,55.1,154.65,DSL,Yes,No,No,Yes,No,No,Female,0,No,Yes,No,1
6384,2015-08-01,,Two year,Yes,Bank transfer (automatic),59.8,3246.45,DSL,No,Yes,Yes,No,No,No,Female,0,Yes,Yes,Yes,0
6385,2014-02-01,,Two year,Yes,Bank transfer (automatic),116.6,8337.45,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
6386,2015-10-01,,Two year,Yes,Electronic check,109.3,5731.4,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,0
6387,2015-02-01,,One year,Yes,Bank transfer (automatic),101.4,6176.6,Fiber optic,Yes,No,No,No,Yes,Yes,Female,1,No,No,Yes,0
6388,2016-11-01,,Month-to-month,Yes,Credit card (automatic),50.65,1905.4,DSL,No,No,Yes,No,Yes,Yes,Female,0,No,No,No,0
6389,2018-11-01,,One year,No,Mailed check,56.15,931.9,DSL,No,No,No,No,Yes,No,Female,0,No,No,No,0
6390,2014-02-01,2019-11-01,Two year,Yes,Bank transfer (automatic),106.5,7348.8,Fiber optic,No,No,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,1
6391,2016-07-01,,One year,Yes,Mailed check,19.2,776.25,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
6392,2014-11-01,,One year,No,Bank transfer (automatic),83.0,5243.05,DSL,Yes,Yes,Yes,Yes,Yes,No,Female,1,No,No,Yes,0
6393,2019-12-01,,Month-to-month,No,Electronic check,70.1,141.65,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,No,0
6394,2014-02-01,,Two year,Yes,Bank transfer (automatic),108.3,7679.65,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
6395,2017-03-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),91.05,2954.5,Fiber optic,No,No,Yes,No,No,Yes,Female,0,Yes,Yes,Yes,1
6396,2016-10-01,,Two year,No,Credit card (automatic),25.25,1006.9,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0
6397,2015-04-01,,One year,Yes,Electronic check,45.35,2540.1,DSL,Yes,Yes,No,No,Yes,No,Female,0,Yes,No,No,0
6398,2014-07-01,,Two year,No,Electronic check,43.9,3097.2,DSL,Yes,No,No,Yes,Yes,No,Male,0,No,No,No,0
6399,2015-09-01,2019-12-01,Month-to-month,Yes,Electronic check,77.5,3807.35,Fiber optic,Yes,No,No,No,No,No,Female,1,Yes,No,Yes,1
6400,2017-07-01,,One year,Yes,Mailed check,79.3,2484.0,DSL,No,No,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,0
6401,2014-05-01,,Month-to-month,Yes,Credit card (automatic),84.9,5785.65,Fiber optic,Yes,Yes,No,No,No,No,Male,1,Yes,No,Yes,0
